config,stack_weight,final_train_ic_2019
old_old9_family_selected_xsz_month_equal_u090,0.8377687094954281,0.09155183739945937
old_old9_family_selected_xsz_row_u090,9.251806487001144e-19,0.0911980081535454
old_old9_family_selected_xsz_month_decay6_u090,1.6011114735130104e-18,0.09023520480509209
old_family_selected_raw_month_equal_u090,0.1622312905045718,0.06955417552239565
old_family_selected_xsz_month_equal_u090,3.2425662195540455e-17,0.089918019945887
old_family_selected_raw_row_u090,0.0,0.06952910643689544
old_family_selected_xsz_row_u090,6.531250522426925e-17,0.08971668424266056
old_family_selected_raw_month_decay6_u090,3.4417904575130572e-18,0.06935908369058584
old_old9_family_selected_xsz_month_decay3_u090,2.2408034452483054e-19,0.08921116103229135
old_old9_newrolling_xsz_month_equal_u090,0.0,0.0914582574763561
old_family_selected_xsz_month_decay6_u090,1.8172229236227638e-19,0.08875414391620116
old_old9_newrolling_xsz_row_u090,0.0,0.091094303978367
