candidate,fold,feature,weight
raw_xsz6__signed_ridge_a01__time90_a0.25,h2,mlp,0.0008303087190651574
raw_xsz6__signed_ridge_a01__time90_a0.25,h2,lgb,0.0005235017169474647
raw_xsz6__signed_ridge_a01__time90_a0.25,h2,ridge,8.025158447676336e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,h2,mlp_xsz,1.7209810969976195e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,h2,lgb_xsz,2.374605787845566e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,h2,ridge_xsz,8.978347287393812e-06
raw_xsz6__signed_ridge_a01__time90_a0.25,q2,mlp,0.0008305948904654543
raw_xsz6__signed_ridge_a01__time90_a0.25,q2,lgb,0.0006388010998627414
raw_xsz6__signed_ridge_a01__time90_a0.25,q2,ridge,5.6482967128408146e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,q2,mlp_xsz,-9.441947636594415e-06
raw_xsz6__signed_ridge_a01__time90_a0.25,q2,lgb_xsz,2.4912782006331155e-06
raw_xsz6__signed_ridge_a01__time90_a0.25,q2,ridge_xsz,1.1076795178306717e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,q3,mlp,0.0008303087190651574
raw_xsz6__signed_ridge_a01__time90_a0.25,q3,lgb,0.0005235017169474647
raw_xsz6__signed_ridge_a01__time90_a0.25,q3,ridge,8.025158447676336e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,q3,mlp_xsz,1.7209810969976195e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,q3,lgb_xsz,2.374605787845566e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,q3,ridge_xsz,8.978347287393812e-06
raw_xsz6__signed_ridge_a01__time90_a0.25,q4,mlp,0.0006221123529875883
raw_xsz6__signed_ridge_a01__time90_a0.25,q4,lgb,0.0004220068631855728
raw_xsz6__signed_ridge_a01__time90_a0.25,q4,ridge,9.220048841352019e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,q4,mlp_xsz,2.8558471145944266e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,q4,lgb_xsz,2.5515726493083176e-05
raw_xsz6__signed_ridge_a01__time90_a0.25,q4,ridge_xsz,8.879951719161952e-06
