window,month,rows,label_rows,pred_viewcal_ic
2019_fit_window,2019-01,334805,257544,0.042674029746631134
2019_fit_window,2019-02,223593,171477,0.05606142365036623
2019_fit_window,2019-03,317120,243558,0.0687478137539637
2019_fit_window,2019-04,282434,214874,0.07294972148885619
2019_fit_window,2019-05,307244,234628,0.07442830467864248
2019_fit_window,2019-06,298500,227621,0.07349119815241652
2019_fit_window,2019-07,368889,282262,0.04916588370901432
2019_fit_window,2019-08,363914,277509,0.0626726027302689
2019_fit_window,2019-09,321585,243375,0.06140147173274723
2019_fit_window,2019-10,308259,233308,0.0494261802061118
2019_fit_window,2019-11,356421,269400,0.061762891367760316
2019_fit_window,2019-12,369818,277285,0.05614258642318443
2019_screen_all,2019-01,334805,257544,0.042674029746631134
2019_screen_all,2019-02,223593,171477,0.05606142365036623
2019_screen_all,2019-03,317120,243558,0.0687478137539637
2019_screen_all,2019-04,282434,214874,0.07294972148885619
2019_screen_all,2019-05,307244,234628,0.07442830467864248
2019_screen_all,2019-06,298500,227621,0.07349119815241652
2019_screen_all,2019-07,368889,282262,0.04916588370901432
2019_screen_all,2019-08,363914,277509,0.0626726027302689
2019_screen_all,2019-09,321585,243375,0.06140147173274723
2019_screen_all,2019-10,308259,233308,0.0494261802061118
2019_screen_all,2019-11,356421,269400,0.061762891367760316
2019_screen_all,2019-12,369818,277285,0.05614258642318443
2020,2020-01,273815,206469,0.08615014384065484
2020,2020-02,223419,163452,0.045705317733897834
2020,2020-03,246149,180119,0.050254119629961076
2020,2020-04,240090,175830,0.04231502241326822
2020,2020-05,324526,245850,0.06402946296711765
2020,2020-06,355007,269027,0.06002674617549743
2020,2020-07,417400,316667,0.0535200633753025
2020,2020-08,377523,286473,0.05314880930607734
2020,2020-09,394768,296947,0.053646435375120614
2020,2020-10,291675,219635,0.03850240620342954
2020,2020-11,382026,287578,0.03340746725386153
2020,2020-12,389113,291488,0.05473747943845525
2019_2020,2019-01,334805,257544,0.042674029746631134
2019_2020,2019-02,223593,171477,0.05606142365036623
2019_2020,2019-03,317120,243558,0.0687478137539637
2019_2020,2019-04,282434,214874,0.07294972148885619
2019_2020,2019-05,307244,234628,0.07442830467864248
2019_2020,2019-06,298500,227621,0.07349119815241652
2019_2020,2019-07,368889,282262,0.04916588370901432
2019_2020,2019-08,363914,277509,0.0626726027302689
2019_2020,2019-09,321585,243375,0.06140147173274723
2019_2020,2019-10,308259,233308,0.0494261802061118
2019_2020,2019-11,356421,269400,0.061762891367760316
2019_2020,2019-12,369818,277285,0.05614258642318443
2019_2020,2020-01,273815,206469,0.08615014384065484
2019_2020,2020-02,223419,163452,0.045705317733897834
2019_2020,2020-03,246149,180119,0.050254119629961076
2019_2020,2020-04,240090,175830,0.04231502241326822
2019_2020,2020-05,324526,245850,0.06402946296711765
2019_2020,2020-06,355007,269027,0.06002674617549743
2019_2020,2020-07,417400,316667,0.0535200633753025
2019_2020,2020-08,377523,286473,0.05314880930607734
2019_2020,2020-09,394768,296947,0.053646435375120614
2019_2020,2020-10,291675,219635,0.03850240620342954
2019_2020,2020-11,382026,287578,0.03340746725386153
2019_2020,2020-12,389113,291488,0.05473747943845525
