bin,mean_return,rows
1,-0.0004297896,110982
2,-0.00025051934,121355
3,-0.00019239183,161966
4,-0.00015301607,121643
5,-0.00012715583,159566
6,-0.00011823126,137296
7,-6.7058674e-05,176418
8,-7.155545e-05,123173
9,-4.7937185e-05,160247
10,-3.7099177e-05,121234
11,-9.783414e-06,180092
12,-2.8264367e-06,117857
13,4.0249623e-05,165563
14,4.467705e-05,134179
15,5.8233196e-05,164145
16,9.3018236e-05,132566
17,0.00011306006,164033
18,0.00013653678,119727
19,0.00016607219,163594
20,0.00022411052,203864
