month,count,mean,std
2019-01,212,0.07126634061349696,0.23020368861019294
2019-02,140,0.06680163782356041,0.24430801847655093
2019-03,202,0.07501350196915803,0.21045525989529967
2019-04,183,0.09212436958577463,0.24140904704325158
2019-05,190,0.08768988515484077,0.2078788027440662
2019-06,177,0.052173296455293894,0.23775800245478895
2019-07,220,0.05345280889305286,0.23944890339229719
2019-08,210,0.060343962348651116,0.18401106169733883
2019-09,188,0.09957068174000906,0.19774790548997925
2019-10,174,0.08825769413787143,0.2581043723104765
2019-11,204,0.05066945399648473,0.19497998465098748
2019-12,199,0.05874545303121883,0.23620454061708523
