symbol,n,ic,rank_ic
A,118584,-0.0018965647712212961,0.017604756224183855
AG,144724,0.0010235550966007105,0.03936638270409439
AL,144132,0.02710095125621753,0.050417542011512335
AP,79351,-0.013587798975819356,0.02418018691398649
AU,144683,0.001368219039801758,0.009874101451477064
B,117525,0.03038379153645848,0.03228505795203317
BU,117506,0.015786007290603237,0.04430839125493992
C,111993,0.06964540261393279,0.10689945710938613
CF,122324,0.03482243350442104,0.05890234710339515
CJ,66718,0.025611924489043897,0.06399854593288959
CS,111703,0.035690156528122415,0.057680001950036884
CU,144503,0.01272911770986524,0.02598976862620032
CY,100401,0.037614809896396546,0.05041354517146574
EB,71432,0.007135562766684744,0.019586570611008745
EG,112154,0.019794347464656675,0.023602179003129924
FB,46099,0.05642833835844837,0.06080057720357236
FG,122368,0.0713198072103484,0.11483603449407125
FU,117609,0.0078921050089782,0.028125786164290463
HC,117444,0.0453135968865899,0.05201808129033206
I,118820,0.043884371745646134,0.052479392140122635
J,118602,0.032614493790021994,0.04325041958615347
JD,80196,0.03931361137142202,0.05600744126329902
JM,118130,0.020815197216995956,0.044384449521916856
L,111874,0.04229852125199136,0.05979777060013231
M,118475,0.0333152938211986,0.04782863092945799
MA,122296,0.028990497488776294,0.05399398228276559
NI,144669,-0.017423071847840903,0.003736709486023062
NR,65593,0.03578672057270076,0.039387639197188566
OI,122323,-0.002469549300849144,0.016897576569169126
P,118733,0.035390956965876234,0.05505116206407531
PB,143468,0.01868007591300358,0.040093416503813165
PG,44925,0.002523339984164126,0.020259222417807896
PP,111803,-0.0019345788313748645,0.0018736747898207735
RB,117511,0.03853901783640783,0.04864176318960589
RM,122261,0.01921382936958801,0.0417677796154607
RR,60152,0.06822455630172833,0.09220539653123067
RU,117382,0.05474234029219508,0.05356450040924099
SA,59579,0.07217044368875708,0.08501496498445346
SC,138273,-0.009876058570166348,0.013027253091777172
SF,79337,0.010411454325653853,0.017393771939852753
SM,79603,0.01714147286887398,0.026841976412988307
SN,143187,0.017209168455944397,0.033982593911602826
SP,117215,0.05411172951720659,0.07160525732743972
SR,122624,0.02317132321952984,0.03551821761486468
SS,91115,0.0492261097635718,0.06154062397120688
TA,122548,0.022187200587653496,0.04651936421805079
UR,55615,0.032067782937802346,0.06570343160803517
V,111487,0.05573637576305116,0.08925571122249808
Y,118287,0.01829079194590405,0.038787448653892095
ZC,122363,0.025396793816871,0.05873727128510135
ZN,144479,0.015755127044278193,0.023844400147641873
